"","分布形态","似然函数值","AIC","BIC"
"MS(3)-GARCH","std-norm-ged","6254.48492357731","-12474.9698471546","-12372.5305103041"
"MS(3)-GARCH","sstd-norm-ged","6282.14579298288","-12528.2915859658","-12419.826405771"
"MS(3)-GARCH","ged-norm-ged","6232.10401137381","-12430.2080227476","-12327.7686858971"
"MS(3)-GARCH","sged-norm-ged","6268.49416843046","-12500.9883368609","-12392.5231566662"
"MS(3)-GARCH","norm-snorm-ged","6047.78050613502","-12061.56101227","-11959.1216754195"
"MS(3)-GARCH","snorm-snorm-ged","6213.84627803509","-12391.6925560702","-12283.2273758755"
"MS(3)-GARCH","std-snorm-ged","6251.58057119931","-12467.1611423986","-12358.6959622039"
"MS(3)-GARCH","sstd-snorm-ged","6277.51104886706","-12517.0220977341","-12402.5310741952"
"MS(3)-GARCH","ged-snorm-ged","6255.035015575","-12474.07003115","-12365.6048509553"
"MS(3)-GARCH","sged-snorm-ged","6247.04795117998","-12456.09590236","-12341.6048788211"
"MS(3)-GARCH","norm-std-ged","6069.23155146969","-12104.4631029394","-12002.0237660888"
"MS(3)-GARCH","snorm-std-ged","6254.23754606696","-12472.4750921339","-12364.0099119392"
"MS(3)-GARCH","std-std-ged","6295.30778229332","-12554.6155645866","-12446.1503843919"
