"","MS(1)-norm","MS(2)-sstd-ged","MS(3)-sged-std-sged"," µº ÷µ"
"52",-0.0723399154495534,-0.0119273036188656,-0.0038722887081073,0.000630252784642057
"53",-0.0723404458763282,-0.0119282700128527,-0.003873313231056,0.00407296289946335
"54",-0.072340745262562,-0.0219974704353967,-0.0079013534837904,-0.00213150384254593
"55",-0.0723408541942736,-0.013942741943245,-0.00588782990862025,-0.00041376556409951
"56",-0.0723408546198026,-0.0139427427068657,-0.00387410272187649,-0.00223906423338866
"57",-0.0723410425180984,-0.0139430798942179,-0.00387446564872151,-0.000164650689832687
"58",-0.0723410432496945,-0.0139430812070822,-0.00387446706180428,0.00100358451575009
"59",-0.0723411531306524,-0.0139432783907194,-0.00387467929762741,-9.74674844208483e-05
"60",-0.0723412535787091,-0.0119297415802042,-0.00387487331373682,5.25585850896509e-05
"61",-0.0723412613345926,-0.0119297557107867,-0.00387488829427918,2.5760391678803e-05
"62",-0.0723433221491772,-0.0119335103455771,-0.00387886877176391,2.41606257589946e-05
"63",-0.0723433247891718,-0.0119335151554307,-0.00387887387093211,1.91700022699535e-05
"64",-0.0723454700618147,-0.0119374236658623,-0.0038830174797353,0.00101432820838957
"65",-0.0723456123486512,-0.0119376829007838,-0.00388329230773476,0.00143485470684319
"66",-0.0723459751925968,-0.0139519316799619,-0.00388399314330079,0.00246407224512966
"67",-0.0723461677738912,-0.0159658597021846,-0.00388436511539036,0.00445566414676645
"68",-0.0723462665475385,-0.0179796139724018,-0.00791171534737645,0.00395102417628766
"69",-0.0723464880381546,-0.0179799993053913,-0.0079121310215462,0.00277732444000701
"70",-0.0723468163687262,-0.0159670058492216,-0.00791274720357804,0.00209090472653149
"71",-0.0723469243765191,-0.0159671967123076,-0.00791294990313451,0.00224977361048815
"72",-0.0723471685227661,-0.0159676281488266,-0.00589985308205154,0.00179676000802277
"73",-0.0723471759055574,-0.0139540863840419,-0.00589986713969504,-7.48330264281746e-05
